Id,Name,x,y,m1Name,m1Idx,m1Score,m2Name,m2Idx,m2Score,City,State,Coordinates
209,Joplin Regional,0.7578,0.4171,Joplin Regional Airport Webb City,1382,90,Joplin Regional Airport Joplin,4058,90,,,
210,Newport News/Williamsburg Inte,0.8495,0.4173,Newport News-Williamsburg International Airport Newport News,2341,90,Newport News Williamsburg International Airport Newport News,3417,90,,,
211,Barkley Regional,0.787,0.418,Barkley Regional Airport West Paducah,2286,90,Barkley Regional Airport PADUCAH,3872,90,,,
212,Norfolk International,0.851,0.4196,Norfolk International Airport Norfolk,2245,90,Norfolk International Airport Norfolk,3395,90,,,
213,Fresno Air Terminal,0.6294,0.4207,Amedee Army Air Field Herlong,78,86,Fresno Yosemite International Airport,3471,86,,,
214,Monterey Peninsula,0.6186,0.4225,Monterey Peninsula Airport Monterey,2003,90,Monterey Peninsula Airport Monterey,3721,90,,,
215,Tri-Cities Regional Tn/Va,0.8194,0.4236,Southwest Georgia Regional Airport Albany,25,86,Tri Cities Regional Tn Va Airport BRISTOL,3871,90,,,
216,Tulsa International,0.7507,0.4262,Tulsa International Airport Tulsa,3082,90,Tulsa International Airport Tulsa,3634,90,,,
217,Nashville International,0.7976,0.4269,Nashville International Airport Nashville,358,90,Nashville International Airport Nashville,3474,90,,,
218,Piedmont Triad International,0.832,0.4272,Lehigh Valley International Airport Allentown,13,86,Piedmont Triad International Airport Greensboro,3772,90,,,
219,Mc Carran International,0.6526,0.4273,Lehigh Valley International Airport Allentown,13,86,McCarran International Airport,3656,100,,,
220,Drake Field,0.7595,0.4281,Bush Field Airport Augusta,72,86,Drake Field Fayetteville,3541,90,,,
221,Raleigh-Durham International,0.8378,0.4293,Lehigh Valley International Airport Allentown,13,86,Raleigh Durham International Airport Raleigh-durham,3410,90,,,
222,Mc Ghee Tyson,0.8113,0.4299,Mcghee Tyson Airport Knoxville,3104,86,Mc Alester Regional Airport Mcalester,3413,0,,,
223,Asheville Regional,0.8187,0.4335,Asheville Regional Airport Fletcher,207,90,Asheville Regional Airport Asheville,3771,90,,,
224,Meadows Field,0.6327,0.4335,Kern County-Meadows Field Airport Bakersfield,277,90,Meadows Field Bakersfield,3342,90,,,
225,Will Rogers World,0.742,0.4339,Will Rogers World Airport Oklahoma City,2212,90,Will Rogers World Airport Oklahoma City,3642,90,,,
226,Fort Smith Regional,0.7585,0.4344,Abilene Regional Airport Abilene,14,86,Fort Smith Regional Airport Fort Smith,3224,90,,,
227,Kinston Regional Jetport At St,0.8438,0.4345,Alamogordo White Sands Regional Airport Alamogordo,114,86,Kinston Regional Jetport At Stallings Field Kinston,5598,90,,,
228,San Luis Obispo County-Mc Ches,0.6247,0.4354,Aspen Pitkin County Airport-Sardy Field Aspen,173,86,San Luis County Regional Airport,4433,100,,,
229,Amarillo International,0.7211,0.4356,Amarillo International Airport Amarillo,121,90,Rick Husband Amarillo International Airport Amarillo,3620,90,,,
230,Charlotte/Douglas International,0.8268,0.4356,Douglas International Airport Charlotte,579,95,Charlotte Douglas International Airport Charlotte,3655,90,,,
231,Flagstaff Pulliam,0.6704,0.4363,Flagstaff Pulliam Airport Flagstaff,920,90,Flagstaff Pulliam Airport Flagstaff,3986,90,,,
232,Memphis International,0.7808,0.4372,Memphis International Airport Memphis,1887,90,Memphis International Airport Memphis,3260,90,,,
233,Albuquerque International,0.6961,0.4373,Albuquerque International Airport Albuquerque,19,90,Albuquerque International Sunport Airport Albuquerque,3783,90,,,
234,Lovell Field,0.8052,0.4373,Bush Field Airport Augusta,72,86,Lovell Field Chattanooga,3362,90,,,
235,Fayetteville Regional/Grannis,0.8374,0.4377,Alamogordo White Sands Regional Airport Alamogordo,114,86,Fayetteville Regional Grannis Field Fayetteville,4403,90,,,
236,Santa Maria Pub/Capt G Allan H,0.6256,0.4386,Presidente Castro Pinto International Airport Santa Rita,1397,86,Santa Maria Pub/Capt G Allan Hancock Field Santa Maria,4437,90,,,
237,Greenville-Spartanburg,0.8204,0.4386,Greenville Spartanburg International Airport Greer,1065,90,Greenville Spartanburg International Airport Greenville,3797,90,,,
238,Albert J Ellis,0.8438,0.4393,Albert J Ellis Airport Richlands,2186,90,Albert J Ellis Airport Jacksonville NC,4086,90,,,
239,Adams Field,0.7694,0.4402,Adams Field Airport Little Rock,1718,90,Bill & Hillary Clinton National Airport/Adams Field Little Rock,3444,90,,,
240,Huntsville Intl-Carl T Jones F,0.7972,0.4411,Lakelan-Noble F. Lee Memerial Field Airport Woodruff,168,86,Huntsville International Carl T Jones Field,3868,100,,,
241,Lawton Muni,0.7379,0.4418,Lawton Municipal Airport Lawton,1651,90,Lawton Fort Sill Regional Airport Lawton,3984,86,,,
242,Santa Barbara Muni,0.6288,0.4431,Santa Barbara Municipal Airport Goleta,2650,90,Santa Barbara Municipal Airport Santa Barbara,3722,90,,,
243,New Hanover International,0.8423,0.4446,Lehigh Valley International Airport Allentown,13,86,Wilmington International Airport,3625,100,,,
244,Oxnard,0.632,0.4453,Oxnard Airport Oxnard,2279,90,Oxnard Airport Oxnard,5244,90,,,
245,Burbank-Glendale-Pasadena,0.6363,0.4453,Burbank Glendale Pasadena Airport Burbank,438,90,RAF Mildenhall Mildenhall,550,52,,,
246,Ontario International,0.6402,0.4467,Ontario International Airport Ontario,2236,90,Ontario International Airport Ontario,3516,90,,,
247,Sheppard Afb/Wichita Falls Mun,0.7375,0.4474,Great Falls International Airport Great Falls,1070,0,Sheppard Air Force Base-Wichita Falls Municipal Airport,3464,86,,,
248,Los Angeles International,0.6361,0.4478,Los Angeles International Airport Los Angeles,1652,90,Los Angeles International Airport Los Angeles,3271,90,,,
249,Columbia Metropolitan,0.826,0.4478,Columbia Metropolitan Airport West Columbia,472,90,Columbia Metropolitan Airport Columbia,3345,90,,,
250,Palm Springs Regional,0.6457,0.4489,,,0,Palm Springs International Airport,3619,86,,,
251,Long Beach /Daugherty Field/,0.6374,0.449,Lakelan-Noble F. Lee Memerial Field Airport Woodruff,168,86,Long Beach /Daugherty Field/ Airport Long Beach,3366,90,,,
252,Myrtle Beach International,0.8371,0.4503,Myrtle Beach International Airport Myrtle Beach,2065,90,Myrtle Beach International Airport Myrtle Beach,3302,90,,,
253,John Wayne Airport-Orange Coun,0.6388,0.4503,Anaa Airport Anaa,0,0,Orange Airport Orange,5144,95,,,
254,Lubbock International,0.7205,0.4504,Lubbock International Airport Lubbock,1654,90,Port Moresby Jacksons International Airport Port Moresby,3,86,,,
255,The William B Hartsfield Atlan,0.8091,0.4506,Hartsfield-Jackson Atlanta International Airport Atlanta,189,86,Lester B. Pearson International Airport Toronto,190,0,,,
256,Birmingham International,0.7973,0.4514,Birmingham International Airport Birmingham,2498,90,Birmingham International Airport Birmingham,464,90,,,
257,Texarkana Regional-Webb Field,0.7604,0.4524,Alamogordo White Sands Regional Airport Alamogordo,114,86,Texarkana Regional Webb Field Texarkana,3551,95,,,
258,Phoenix Sky Harbor International,0.6686,0.4526,Sky Harbor International Airport Phoenix,2347,95,Phoenix Sky Harbor International Airport Phoenix,3249,90,,,
259,Bush Field,0.8216,0.4532,Bush Field Airport Augusta,72,90,Augusta Regional At Bush Field Bush Field,3442,90,,,
260,Charleston Afb/Intl,0.8314,0.4577,Charleston International Airport North Charleston,540,86,Edwards Air Force Base Edwards Afb,3299,0,,,
261,Dallas/Fort Worth International,0.7449,0.4578,Fort Worth International Airport Dallas,712,95,Dallas Fort Worth International Airport Dallas-Fort Worth,3454,90,,,
262,Dallas Love Field,0.7458,0.4582,Dallas Love Field Airport Dallas,689,90,Dallas Love Field Dallas,3289,95,,,
263,San Diego Intl-Lindbergh Fld,0.6423,0.4593,,,0,San Diego International Airport,3513,86,,,
264,Yuma Mcas/Yuma International,0.6554,0.46,Lehigh Valley International Airport Allentown,13,86,Yuma MCAS/Yuma International Airport Yuma,3380,95,,,
265,Columbus Metropolitan,0.8065,0.4614,Columbus Metropolitan Airport Columbus,631,90,Columbus Metropolitan Airport Columbus,3983,90,,,
266,Monroe Regional,0.7703,0.4614,Monroe Regional Airport Monroe,1954,90,Monroe Regional Airport Monroe,3514,90,,,
267,Shreveport Regional,0.7612,0.4621,Shreveport Regional Airport Shreveport,2724,90,Shreveport Regional Airport Shreveport,3393,90,,,
268,Abilene Regional,0.7314,0.4624,Abilene Regional Airport Abilene,14,90,Abilene Regional Airport Abilene,3501,90,,,
269,Gregg County,0.7567,0.4626,Gregg County Airport Longview,1004,90,Lethbridge County Airport Lethbridge,114,86,,,
270,Tyler Pounds Field,0.7532,0.4629,Tyler Pounds Field Airport Tyler,3103,90,Prince Albert Glass Field Prince Albert,99,86,,,
271,Jackson International,0.7803,0.4634,Jackson International Airport Pearl,1343,90,Port Moresby Jacksons International Airport Port Moresby,3,86,,,
272,Dannelly Field,0.7991,0.4635,Bush Field Airport Augusta,72,0,Montgomery Regional (Dannelly Field) Airport MONTGOMERY,3870,90,,,
273,Savannah International,0.8255,0.4651,Savannah International Airport Savannah,2648,90,Port Moresby Jacksons International Airport Port Moresby,3,86,,,
274,Tucson International,0.6741,0.4652,Tucson International Airport Tucson,3087,90,Tucson International Airport Tucson,3420,90,,,
275,Midland International,0.7186,0.4669,Midland International Airport Midland,1833,90,Midland International Airport Midland,3436,90,,,
276,El Paso International,0.6973,0.4682,El Paso International Airport El Paso,835,90,El Paso International Airport El Paso,3343,90,,,
277,Waco Regional,0.7439,0.47,Waco Regional Airport Waco,35,90,Waco Regional Airport Waco,3484,90,,,
278,Alexandria Esler Regional,0.769,0.4721,Alexandria Alexandria,3374,0,Esler Regional Airport Alexandria,3418,95,,,
279,Mathis Field,0.7273,0.4725,Mathis Field Airport San Angelo,2744,90,San Angelo Regional Mathis Field San Angelo,3491,90,,,
280,Killeen Muni,0.7416,0.4751,Killeen-Fort Hood Regional Airport Killeen,1052,100,Robert Gray  Army Air Field Airport Killeen,3556,0,,,
281,Mobile Regional,0.7897,0.4788,Mobile Regional Airport Mobile,1973,90,Mobile Regional Airport Mobile,3563,90,,,
282,Easterwood Field,0.7483,0.4798,Easterwood Field Airport College Station,574,90,Easterwood Field College Station,3498,90,,,
283,"Baton Rouge Metropolitan, Ryan",0.7749,0.4803,Baton Rouge Metropolitan Airport Baton Rouge,424,86,"Baton Rouge Metropolitan, Ryan Field Baton Rouge",3626,90,,,
284,Jacksonville International,0.8231,0.4807,Jacksonville International Airport Jacksonville,1345,90,Jacksonville International Airport Jacksonville,3495,90,,,
285,Eglin Afb,0.7984,0.4808,Eglin Air Force Base Eglin Village,3239,86,Neuburg AFB Neuburg,770,0,,,
286,Pensacola Regional,0.7951,0.4809,Pensacola Regional Airport Pensacola,2411,90,Pensacola Regional Airport Pensacola,3348,90,,,
287,Tallahassee Regional,0.8095,0.4816,Tallahassee Regional Airport Tallahassee,2997,90,Tallahassee Regional Airport Tallahassee,3482,90,,,
288,Robert Mueller Municipal Airport,0.7415,0.4826, Port Moller,2395,66,Robert L. Bradshaw International Airport Basse Terre,2743,86,Austin,Texas,"30.3, -97.7"
289,Panama City-Bay Co International,0.8027,0.4834,General Juan N Alvarez International Airport Acapulco,27,86,Panama City-Bay Co International Airport Panama City,3830,90,,,
290,Lafayette Regional,0.7706,0.4835,Lafayette Regional Airport Lafayette,1694,90,Lafayette Regional Airport Lafayette,3280,90,,,
291,Lake Charles Regional,0.7643,0.4842,Lake Charles Regional Airport Lake Charles,1668,90,Lake Charles Regional Airport Lake Charles,3300,90,,,
292,New Orleans Intl/Moisant Fld/,0.7794,0.4855,,,0,Louis Armstrong New Orleans International Airport,3640,100,,,
293,Houston Intercontinental,0.7535,0.4856,George Bush Intercontinental Airport Houston,1231,86,Quer√©taro Intercontinental Airport Queretaro,1779,0,,,
294,Jefferson County,0.7602,0.4859,Jefferson County Airport Beaumont,383,90,Lethbridge County Airport Lethbridge,114,86,,,
295,Gainesville Regional,0.8201,0.4884,Gainesville Regional Airport Gainesville,1035,90,Gainesville Regional Airport Gainesville,3259,90,,,
296,William P Hobby,0.7538,0.4888,William P Hobby Airport Houston,1184,90,William P Hobby Airport Houston,3350,90,,,
297,San Antonio International,0.7376,0.4899,San Antonio International Airport San Antonio,2647,90,San Antonio International Airport San Antonio,3405,90,,,
298,Daytona Beach International,0.8263,0.4933,Daytona Beach International Airport Daytona Beach,686,90,Daytona Beach International Airport Daytona Beach,3723,90,,,
299,Orlando International,0.825,0.5004,Orlando International Airport Orlando,1860,90,Orlando International Airport Orlando,3657,90,,,
300,Melbourne International,0.8284,0.5036,Melbourne International Airport Melbourne,1945,90,Melbourne International Airport Melbourne,3455,90,,,
301,Tampa International,0.8188,0.5048,Tampa International Airport Tampa,3036,90,Tampa International Airport Tampa,3430,90,,,
302,St Petersburg/Clearwater International,0.818,0.5054,St. Petersburg-Clearwater International Airport Clearwater,2350,87,St Petersburg Clearwater International Airport St. Petersburg,3401,90,,,
303,Corpus Christi International,0.7425,0.5067,Corpus Christi International Airport Corpus Christi,628,90,Corpus Christi International Airport Corpus Christi,3525,90,,,
304,Laredo International,0.7325,0.5089,Laredo International Airport Laredo,1769,90,Laredo International Airport Laredo,3475,90,,,
305,Sarasota/Bradenton International,0.8186,0.5103,General Juan N Alvarez International Airport Acapulco,27,86,Sarasota Bradenton International Airport Sarasota,3826,90,,,
306,Palm Beach International,0.8312,0.5171,Palm Beach International Airport West Palm Beach,2296,90,Palm Beach International Airport West Palm Beach,3505,90,,,
307,Southwest Florida International,0.8227,0.5185,Southwest Florida International Airport Fort Myers,2614,90,Southwest Florida International Airport Fort Myers,3574,90,,,
308,Rio Grande Valley International,0.7417,0.5215,,,0,Valley International Airport,3344,86,,,
309,Mc Allen Miller International,0.7388,0.522,Lehigh Valley International Airport Allentown,13,86,Mc Allen Miller International Airport Mcallen,3606,90,,,
310,Fort Lauderdale/Hollywood International,0.8309,0.523,Fort Lauderdale Hollywood International Airport Dania Beach,921,90,Fort Lauderdale Hollywood International Airport Fort Lauderdale,3318,90,,,
311,Miami International,0.8302,0.5256,Miami International Airport Miami,1915,90,Miami International Airport Miami,3360,90,,,
312,Lihue,0.4276,0.5621,Lihue Airport Lihue,1711,90,Lihue Airport Lihue,3386,90,,,
313,Honolulu International,0.4348,0.5684,Honolulu International Airport Honolulu,2118,90,Honolulu International Airport Honolulu,3510,90,,,
314,Molokai,0.439,0.57,Molokai Airport Hoolehua,1936,90,Molokai Airport Molokai,3488,90,,,
315,Kapalua,0.4412,0.5718,Kapalua West Maui Airport Lahaina,1368,90,Kapalua Airport Lahania-kapalua,3577,90,,,
316,Kahului,0.4424,0.5724,Kahului Airport Kahului,2201,90,Kahului Airport Kahului,3243,90,,,
317,Lanai,0.4398,0.5735,Lanai Airport Lanai City,1748,90,Lanai Airport Lanai,3630,90,,,
318,Keahole-Kona International,0.4444,0.5835,,,0,Kona International At Keahole Airport,3301,86,,,
319,Hilo International,0.4495,0.5837,Hilo International Airport Hilo,1315,90,Hilo International Airport Hilo,3202,90,,,
320,Rafael Hernandez,0.8972,0.5954,Rafael Hernandez Airport Aguadilla,388,90,Rafael Hernandez Airport Aguadilla,2737,90,,,
321,Luis Munoz Marin International,0.9029,0.5959,Lehigh Valley International Airport Allentown,13,86,Luis Munoz Marin International Airport San Juan,2742,90,,,
322,Cyril E King,0.9082,0.5969,Cyril E King International Airport Charlotte Amalie,2846,90,King Shaka International Airport Durban,781,86,,,
323,Eugenio Maria De Hostos,0.8971,0.5977,Eugenio Maria de Hostos Airport Mayaguez,1844,90,Eugenio Maria De Hostos Airport Mayaguez,2740,90,,,
324,Mercedita,0.9001,0.6,Mercedita Airport Coto Laurel,2441,90,Mercedita Airport Ponce,2741,90,,,
325,Alexander Hamilton,0.9091,0.6029,,,0,Henry E Rohlsen Airport,2736,100,,,
326,Johnston Atoll,0.3757,0.6122,Enyu Airfield Bikini Atoll,308,86,Johnston Atoll Airport Johnston Island,4083,90,,,
327,Saipan International,0.1479,0.6276,Saipan International Airport Saipan,2814,90,Saipan International Airport Saipan,2148,90,,,
328,Rota International,0.1454,0.6366,Rota International Airport Rota,2599,90,Rota International Airport Rota,2147,90,,,
329,Guam International,0.1431,0.6432,,,0,Antonio B. Won Pat International Airport,2150,86,,,
330,Babelthuap/Koror,0.0909,0.7017, Bam,457,60,Babelthuap Airport Babelthuap,2159,86,,,
331,Pago Pago International,0.3697,0.909,Pago Pago International Airport Pago Pago,2423,90,Pago Pago International Airport Pago Pago,1901,90,,,
332,West Tinian,0.1473,0.6288,Tinian Tinian,2973,95,Tinian International Airport West Tinian,2151,90,,,
